Source: MJ Menne CN Williams Jr. RS Vose NOAA National Climatic Data Center Asheville NC
Day  ,JD  ,Month  ,State_id  ,Year  ,PRCP (in),TAVE (F),TMAX (F),TMIN (F) 
24,84,3,'417945',1976,0.15,69,81,56 
25,85,3,'417945',1976,0,76,83,69 
26,86,3,'417945',1976,0.02,74,86,62 
27,87,3,'417945',1976,0,60,73,46 
28,88,3,'417945',1976,0,64,72,56 
29,89,3,'417945',1976,0,79,91,67 
30,90,3,'417945',1976,0,58,67,48 
31,91,3,'417945',1976,0,59,77,40 
1,92,4,'417945',1976,0,61,81,41 
2,93,4,'417945',1976,0,64,80,47 
3,94,4,'417945',1976,0.15,70,80,60 
4,95,4,'417945',1976,0.83,69,77,61 
5,96,4,'417945',1976,0.31,62,63,60 
6,97,4,'417945',1976,0,65,74,55 
7,98,4,'417945',1976,0.14,67,78,55 
8,99,4,'417945',1976,0.03,66,79,53 
9,100,4,'417945',1976,0,68,78,58 
10,101,4,'417945',1976,0,68,74,62 
11,102,4,'417945',1976,0,73,81,64 
12,103,4,'417945',1976,0,72,77,66 
13,104,4,'417945',1976,0,74,80,67 
14,105,4,'417945',1976,0,73,78,68 
15,106,4,'417945',1976,0.8,65,74,55 
16,107,4,'417945',1976,0.01,67,78,55 
17,108,4,'417945',1976,0.06,76,81,70 
18,109,4,'417945',1976,1.71,62,71,52 
19,110,4,'417945',1976,0.05,69,73,65 
20,111,4,'417945',1976,0.47,70,83,56 
21,112,4,'417945',1976,0,68,82,54 
22,113,4,'417945',1976,0,75,82,68 
23,114,4,'417945',1976,0,75,80,70 
24,115,4,'417945',1976,0.17,75,85,65 
25,116,4,'417945',1976,0,68,81,54 
26,117,4,'417945',1976,0,68,82,53 
27,118,4,'417945',1976,0,74,79,68 
28,119,4,'417945',1976,0,76,83,69 
29,120,4,'417945',1976,0.94,67,73,61 
30,121,4,'417945',1976,0,68,77,58 
1,122,5,'417945',1976,0,64,75,53 
2,123,5,'417945',1976,0,64,81,47 
3,124,5,'417945',1976,0,66,82,50 
4,125,5,'417945',1976,0,65,80,50 
5,126,5,'417945',1976,0.5,72,79,64 
6,127,5,'417945',1976,0.72,75,83,67 
7,128,5,'417945',1976,2.99,68,74,61 
8,129,5,'417945',1976,0,66,71,60 
9,130,5,'417945',1976,0.07,66,67,64 
10,131,5,'417945',1976,0,72,80,64 
11,132,5,'417945',1976,0,75,85,65 
12,133,5,'417945',1976,0.45,73,84,62 
13,134,5,'417945',1976,0.08,70,78,62 
14,135,5,'417945',1976,0,68,80,56 
15,136,5,'417945',1976,0,68,82,53 
16,137,5,'417945',1976,0,75,85,65 
17,138,5,'417945',1976,0,72,81,62 
18,139,5,'417945',1976,0,67,80,54 
19,140,5,'417945',1976,0,68,78,57 
20,141,5,'417945',1976,0.57,68,74,62 
21,142,5,'417945',1976,0,72,82,62 
22,143,5,'417945',1976,0,76,84,68 
23,144,5,'417945',1976,0,77,86,67 
24,145,5,'417945',1976,0,79,86,71 
25,146,5,'417945',1976,0.1,80,87,73 
26,147,5,'417945',1976,0.1,75,84,65 
27,148,5,'417945',1976,0,70,80,60 
28,149,5,'417945',1976,0,69,83,55 
29,150,5,'417945',1976,0,76,89,62 
30,151,5,'417945',1976,0,81,87,75 
31,152,5,'417945',1976,0.22,78,89,66 
1,153,6,'417945',1976,0,73,80,65 
2,154,6,'417945',1976,0.03,75,86,64 
3,155,6,'417945',1976,0,75,87,63 
4,156,6,'417945',1976,0,76,87,65 
5,157,6,'417945',1976,0,76,87,65 
6,158,6,'417945',1976,0,76,87,64 
7,159,6,'417945',1976,0,77,86,67 
8,160,6,'417945',1976,0,75,86,64 
9,161,6,'417945',1976,0,76,86,66 
10,162,6,'417945',1976,0,76,87,65 
11,163,6,'417945',1976,0,83,91,74 
12,164,6,'417945',1976,0,83,90,76 
13,165,6,'417945',1976,0,82,90,74 
14,166,6,'417945',1976,0,81,90,71 
15,167,6,'417945',1976,0,84,91,76 
16,168,6,'417945',1976,0.97,81,90,72 
17,169,6,'417945',1976,0.06,84,91,76 
18,170,6,'417945',1976,0,84,91,76 
19,171,6,'417945',1976,0,82,89,74 
20,172,6,'417945',1976,0,77,88,65 
21,173,6,'417945',1976,0,76,91,60 
22,174,6,'417945',1976,0,85,93,77 
23,175,6,'417945',1976,0,85,92,77 
24,176,6,'417945',1976,0,85,92,77 
25,177,6,'417945',1976,0.45,80,90,69 
26,178,6,'417945',1976,0.1,81,88,74 
27,179,6,'417945',1976,0,84,91,76 
28,180,6,'417945',1976,0,84,91,76 
29,181,6,'417945',1976,0,83,92,74 
30,182,6,'417945',1976,0,82,92,72 
1,183,7,'417945',1976,0,81,90,72 
2,184,7,'417945',1976,0,84,92,76 
3,185,7,'417945',1976,0.02,84,92,76 
4,186,7,'417945',1976,1.44,79,85,72 
5,187,7,'417945',1976,0.31,79,85,72 
6,188,7,'417945',1976,0.13,78,85,70 
7,189,7,'417945',1976,0,77,85,69 
8,190,7,'417945',1976,0.34,75,76,73 
9,191,7,'417945',1976,0.48,75,77,72 
10,192,7,'417945',1976,0.79,76,80,71 
11,193,7,'417945',1976,0.51,78,83,72 
12,194,7,'417945',1976,0,78,83,72 
13,195,7,'417945',1976,0.04,78,84,72 
14,196,7,'417945',1976,0.46,73,74,71 
15,197,7,'417945',1976,0,79,85,72 
16,198,7,'417945',1976,0.86,80,85,75 
17,199,7,'417945',1976,0,82,88,76 
18,200,7,'417945',1976,0,83,89,76 
19,201,7,'417945',1976,0,82,90,73 
20,202,7,'417945',1976,0.01,81,88,73 
21,203,7,'417945',1976,0,78,84,72 
22,204,7,'417945',1976,0,81,90,71 
23,205,7,'417945',1976,0,81,89,73 
24,206,7,'417945',1976,0,79,90,68 
25,207,7,'417945',1976,0,82,89,74 
26,208,7,'417945',1976,0,80,89,71 
27,209,7,'417945',1976,0,83,91,75 
28,210,7,'417945',1976,0,84,92,75 
29,211,7,'417945',1976,0,84,92,76 
30,212,7,'417945',1976,0,84,92,76 
31,213,7,'417945',1976,0,84,92,76 
1,214,8,'417945',1976,0,83,92,74 
2,215,8,'417945',1976,0,83,94,72 
3,216,8,'417945',1976,0,82,91,73 
4,217,8,'417945',1976,0,81,92,70 
5,218,8,'417945',1976,0,82,93,71 
6,219,8,'417945',1976,0,84,93,75 
7,220,8,'417945',1976,0,84,95,73 
8,221,8,'417945',1976,0,85,96,73 
9,222,8,'417945',1976,0,85,96,73 
10,223,8,'417945',1976,0,85,96,74 
11,224,8,'417945',1976,0,83,92,73 
12,225,8,'417945',1976,0,82,92,72 
13,226,8,'417945',1976,0,85,94,75 
14,227,8,'417945',1976,0,85,94,76 
15,228,8,'417945',1976,0,85,94,75 
16,229,8,'417945',1976,0,84,92,75 
17,230,8,'417945',1976,0,82,90,73 
18,231,8,'417945',1976,0.95,79,89,69 
19,232,8,'417945',1976,0,80,89,70 
20,233,8,'417945',1976,0,80,89,70 
21,234,8,'417945',1976,0,78,89,66 
22,235,8,'417945',1976,0,78,90,66 
23,236,8,'417945',1976,0,80,91,69 
24,237,8,'417945',1976,0,79,91,67 
25,238,8,'417945',1976,0,81,91,70 
26,239,8,'417945',1976,0,81,92,70 
27,240,8,'417945',1976,0,83,93,73 
28,241,8,'417945',1976,0.14,83,94,71 
29,242,8,'417945',1976,0.07,76,83,69 
30,243,8,'417945',1976,0.93,78,86,69 
31,244,8,'417945',1976,0,80,90,70 
1,245,9,'417945',1976,0,83,89,76 
2,246,9,'417945',1976,0.46,79,84,74 
3,247,9,'417945',1976,0,83,91,75 
4,248,9,'417945',1976,0,84,91,76 
5,249,9,'417945',1976,0,83,92,73 
6,250,9,'417945',1976,0,83,92,73 
7,251,9,'417945',1976,0,82,91,72 
8,252,9,'417945',1976,0,84,92,75 
9,253,9,'417945',1976,0,80,92,68 
10,254,9,'417945',1976,0,77,86,68 
11,255,9,'417945',1976,0,77,89,64 
12,256,9,'417945',1976,0,82,90,73 
13,257,9,'417945',1976,0,79,85,73 
14,258,9,'417945',1976,0,80,91,69 
15,259,9,'417945',1976,0,80,90,69 
16,260,9,'417945',1976,0.01,78,88,68 
17,261,9,'417945',1976,0,80,88,71 
18,262,9,'417945',1976,0.41,79,87,70 
19,263,9,'417945',1976,0.43,77,83,71 
20,264,9,'417945',1976,0.45,77,83,70 
21,265,9,'417945',1976,0,72,84,60 
22,266,9,'417945',1976,0,69,83,55 
23,267,9,'417945',1976,0,72,86,57 
24,268,9,'417945',1976,0,75,87,62 
25,269,9,'417945',1976,0,75,87,63 
26,270,9,'417945',1976,0.91,79,90,68 
27,271,9,'417945',1976,0,77,87,67 
28,272,9,'417945',1976,1.12,69,74,64 
29,273,9,'417945',1976,0,69,77,60 
30,274,9,'417945',1976,0,69,82,56 
1,275,10,'417945',1976,0,70,83,56 
2,276,10,'417945',1976,0,72,83,60 
3,277,10,'417945',1976,0,72,83,61 
4,278,10,'417945',1976,1.86,75,86,64 
5,279,10,'417945',1976,0,68,78,58 
6,280,10,'417945',1976,0,62,74,49 
7,281,10,'417945',1976,0.08,60,70,49 
8,282,10,'417945',1976,0,53,65,41 
9,283,10,'417945',1976,0,56,74,38 
10,284,10,'417945',1976,0,64,83,45 
11,285,10,'417945',1976,0,65,82,47 
12,286,10,'417945',1976,0,65,79,50 
13,287,10,'417945',1976,0,70,80,59 
14,288,10,'417945',1976,0,68,80,55 
15,289,10,'417945',1976,1.94,65,69,61 
16,290,10,'417945',1976,0,62,68,55 
17,291,10,'417945',1976,0,62,70,53 
18,292,10,'417945',1976,0,59,73,45 
19,293,10,'417945',1976,1.38,52,63,40 
20,294,10,'417945',1976,0,51,66,35 
21,295,10,'417945',1976,0,51,65,36 
22,296,10,'417945',1976,0.08,60,70,49 
23,297,10,'417945',1976,0.1,69,72,66 
24,298,10,'417945',1976,0.69,66,70,61 
25,299,10,'417945',1976,0,62,73,51 
26,300,10,'417945',1976,0,54,62,46 
27,301,10,'417945',1976,0.16,55,60,50 
28,302,10,'417945',1976,0.91,48,52,44 
29,303,10,'417945',1976,1.28,49,56,42 
30,304,10,'417945',1976,0,57,77,37 
31,305,10,'417945',1976,0,58,71,44 
1,306,11,'417945',1976,0,57,69,44 
2,307,11,'417945',1976,0,57,74,40 
3,308,11,'417945',1976,0,61,77,44 
4,309,11,'417945',1976,0,61,73,48 
5,310,11,'417945',1976,0,57,70,43 
6,311,11,'417945',1976,0,59,74,44 
7,312,11,'417945',1976,0,61,75,47 
8,313,11,'417945',1976,0,58,69,46 
9,314,11,'417945',1976,0,64,74,54 
10,315,11,'417945',1976,0,65,76,53 
11,316,11,'417945',1976,0,62,76,47 
12,317,11,'417945',1976,0.55,42,48,36 
13,318,11,'417945',1976,0.05,35,37,33 
14,319,11,'417945',1976,0,43,53,33 
15,320,11,'417945',1976,0,39,49,29 
16,321,11,'417945',1976,0.38,40,43,37 
17,322,11,'417945',1976,0.1,46,52,40 
18,323,11,'417945',1976,0.39,52,57,46 
19,324,11,'417945',1976,0.5,54,58,49 
20,325,11,'417945',1976,0,64,79,49 
21,326,11,'417945',1976,0,55,64,46 
22,327,11,'417945',1976,0,51,59,42 
23,328,11,'417945',1976,0,52,57,46 
24,329,11,'417945',1976,0,57,61,53 
25,330,11,'417945',1976,0.43,61,63,59 
26,331,11,'417945',1976,0,65,76,54 
27,332,11,'417945',1976,0,45,56,34 
28,333,11,'417945',1976,0.06,32,37,27 
29,334,11,'417945',1976,0,34,46,21 
30,335,11,'417945',1976,0,39,56,22 
1,336,12,'417945',1976,0,44,61,26 
2,337,12,'417945',1976,0,48,62,33 
3,338,12,'417945',1976,0,48,67,28 
4,339,12,'417945',1976,0,50,70,30 
5,340,12,'417945',1976,0.96,60,64,55 
6,341,12,'417945',1976,0,53,64,41 
7,342,12,'417945',1976,0,44,56,32 
8,343,12,'417945',1976,0,47,63,30 
9,344,12,'417945',1976,0,50,67,32 
10,345,12,'417945',1976,0.01,63,67,59 
11,346,12,'417945',1976,0.22,52,63,40 
12,347,12,'417945',1976,0.32,50,55,44 
13,348,12,'417945',1976,0.09,50,54,46 
14,349,12,'417945',1976,0.05,48,55,41 
15,350,12,'417945',1976,0,48,60,35 
16,351,12,'417945',1976,0,55,65,45 
17,352,12,'417945',1976,0,53,61,44 
18,353,12,'417945',1976,0.05,59,61,56 
19,354,12,'417945',1976,0.13,62,64,59 
20,355,12,'417945',1976,0,47,61,33 
21,356,12,'417945',1976,0,37,46,28 
22,357,12,'417945',1976,0,44,50,37 
23,358,12,'417945',1976,0,48,61,35 
24,359,12,'417945',1976,0.03,44,56,32 
25,360,12,'417945',1976,0.09,57,69,45 
26,361,12,'417945',1976,0,49,65,32 
27,362,12,'417945',1976,0,53,68,37 
28,363,12,'417945',1976,0,56,72,39 
29,364,12,'417945',1976,0,46,61,31 
30,365,12,'417945',1976,0,54,72,36 
31,366,12,'417945',1976,0,35,43,26 
1,1,1,'417945',1977,0.04,33,36,29 
2,2,1,'417945',1977,0.04,35,39,31 
3,3,1,'417945',1977,0,42,49,35 
4,4,1,'417945',1977,0.01,52,66,38 
5,5,1,'417945',1977,0.08,43,46,40 
6,6,1,'417945',1977,0.02,49,59,38 
7,7,1,'417945',1977,0,48,59,36 
8,8,1,'417945',1977,0.12,50,54,45 
9,9,1,'417945',1977,0.02,38,50,26 
10,10,1,'417945',1977,0,32,44,20 
11,11,1,'417945',1977,0.06,32,41,23 
12,12,1,'417945',1977,0.43,42,44,39 
13,13,1,'417945',1977,0.35,49,55,42 
14,14,1,'417945',1977,0,45,55,35 
15,15,1,'417945',1977,0,46,61,30 
16,16,1,'417945',1977,0,39,45,33 
17,17,1,'417945',1977,0,39,47,30 
18,18,1,'417945',1977,0,36,45,26 
19,19,1,'417945',1977,0,36,50,21 
20,20,1,'417945',1977,0,44,59,28 
21,21,1,'417945',1977,0,47,63,30 
22,22,1,'417945',1977,1.1,54,56,51 
23,23,1,'417945',1977,0.04,57,66,48 
24,24,1,'417945',1977,0,52,63,40 
25,25,1,'417945',1977,0,47,60,34 
26,26,1,'417945',1977,0,56,67,45 
27,27,1,'417945',1977,0,61,80,42 
28,28,1,'417945',1977,0,54,74,34 
29,29,1,'417945',1977,0,34,41,27 
30,30,1,'417945',1977,0.79,38,41,35 
31,31,1,'417945',1977,0,42,52,32 
1,32,2,'417945',1977,0,43,45,41 
2,33,2,'417945',1977,0.17,46,49,42 
3,34,2,'417945',1977,0,52,65,39 
4,35,2,'417945',1977,0,49,66,31 
5,36,2,'417945',1977,0,50,62,37 
6,37,2,'417945',1977,0,45,58,31 
7,38,2,'417945',1977,0,53,60,45 
8,39,2,'417945',1977,0.2,50,59,40 
9,40,2,'417945',1977,0.02,47,59,34 
10,41,2,'417945',1977,0.34,52,56,48 
11,42,2,'417945',1977,0.18,61,73,49 
12,43,2,'417945',1977,0,57,70,43 
13,44,2,'417945',1977,0,52,71,33 
14,45,2,'417945',1977,0,55,74,36 
15,46,2,'417945',1977,0,45,56,33 
16,47,2,'417945',1977,0,48,66,30 
17,48,2,'417945',1977,0,57,76,37 
18,49,2,'417945',1977,0,60,80,39 
19,50,2,'417945',1977,0,56,68,43 
20,51,2,'417945',1977,0,52,69,34 
21,52,2,'417945',1977,0,56,73,38 
22,53,2,'417945',1977,0,68,76,59 
23,54,2,'417945',1977,0,60,77,43 
24,55,2,'417945',1977,0,61,83,39 
25,56,2,'417945',1977,0,63,82,44 
26,57,2,'417945',1977,0,54,66,41 
27,58,2,'417945',1977,0,45,62,28 
28,59,2,'417945',1977,0,50,69,30 
1,60,3,'417945',1977,0,51,69,32 
2,61,3,'417945',1977,0,66,75,57 
3,62,3,'417945',1977,0.27,53,65,41 
4,63,3,'417945',1977,0,49,65,32 
5,64,3,'417945',1977,0,53,63,42 
6,65,3,'417945',1977,0,52,65,38 
7,66,3,'417945',1977,0,51,71,30 
8,67,3,'417945',1977,0,54,71,36 
9,68,3,'417945',1977,0,57,72,41 
10,69,3,'417945',1977,0,68,79,56 
11,70,3,'417945',1977,0.01,65,75,54 
12,71,3,'417945',1977,0,60,75,45 
13,72,3,'417945',1977,0,60,81,39 
14,73,3,'417945',1977,0,67,80,53 
15,74,3,'417945',1977,0,75,85,65 
16,75,3,'417945',1977,0,70,79,60 
17,76,3,'417945',1977,0,75,83,67 
18,77,3,'417945',1977,0,69,81,57 
19,78,3,'417945',1977,0,68,82,54 
20,79,3,'417945',1977,0,62,74,49 
21,80,3,'417945',1977,0,65,78,52 
22,81,3,'417945',1977,0,55,69,41 
23,82,3,'417945',1977,0,57,67,47 
24,83,3,'417945',1977,0.1,60,64,55 
25,84,3,'417945',1977,0,64,71,57 
26,85,3,'417945',1977,0.29,69,72,66 
27,86,3,'417945',1977,0.21,62,74,50 
28,87,3,'417945',1977,0,65,81,49 
29,88,3,'417945',1977,0,68,84,52 
30,89,3,'417945',1977,0,72,81,62 
31,90,3,'417945',1977,0,61,69,53 
1,91,4,'417945',1977,0.07,58,64,51 
2,92,4,'417945',1977,0.07,72,84,60 
3,93,4,'417945',1977,0.27,72,88,55 
4,94,4,'417945',1977,0.04,59,71,47 
5,95,4,'417945',1977,0,58,73,43 
6,96,4,'417945',1977,0,60,79,41 
7,97,4,'417945',1977,0,62,80,44 
8,98,4,'417945',1977,0,64,78,49 
9,99,4,'417945',1977,0,67,79,55 
10,100,4,'417945',1977,0,70,81,58 
11,101,4,'417945',1977,0,71,81,60 
12,102,4,'417945',1977,0,72,78,65 
13,103,4,'417945',1977,0.8,71,76,65 
14,104,4,'417945',1977,0.29,69,74,64 
15,105,4,'417945',1977,0.83,64,69,58 
16,106,4,'417945',1977,1.07,64,71,57 
17,107,4,'417945',1977,0,67,77,57 
18,108,4,'417945',1977,0,67,80,53 
19,109,4,'417945',1977,2.8,74,82,65 
20,110,4,'417945',1977,2.08,72,80,63 
21,111,4,'417945',1977,0.04,66,75,57 
22,112,4,'417945',1977,0,67,80,54 
23,113,4,'417945',1977,0,68,81,54 
24,114,4,'417945',1977,0,69,81,56 
25,115,4,'417945',1977,0,66,79,52 
26,116,4,'417945',1977,0,64,79,48 
27,117,4,'417945',1977,0,71,81,60 
28,118,4,'417945',1977,0,72,81,62 
29,119,4,'417945',1977,0,74,81,67 
30,120,4,'417945',1977,0.44,66,72,60 
1,121,5,'417945',1977,0,70,81,59 
2,122,5,'417945',1977,0,76,81,70 
3,123,5,'417945',1977,0,77,83,71 
4,124,5,'417945',1977,0,77,84,69 
5,125,5,'417945',1977,0,74,79,69 
6,126,5,'417945',1977,0,75,83,67 
7,127,5,'417945',1977,0,78,83,72 
8,128,5,'417945',1977,0,76,81,71 
9,129,5,'417945',1977,0.03,74,82,66 
10,130,5,'417945',1977,0,72,82,62 
11,131,5,'417945',1977,0.38,69,76,62 
12,132,5,'417945',1977,0,70,81,59 
13,133,5,'417945',1977,0,73,80,65 
14,134,5,'417945',1977,0,73,81,65 
15,135,5,'417945',1977,0.01,75,79,71 
16,136,5,'417945',1977,0.06,74,78,70 
17,137,5,'417945',1977,0,74,78,69 
18,138,5,'417945',1977,0,76,82,70 
19,139,5,'417945',1977,0,78,83,72 
20,140,5,'417945',1977,0,77,81,72 
21,141,5,'417945',1977,1.01,70,80,60 
22,142,5,'417945',1977,0,73,80,66 
23,143,5,'417945',1977,0,77,84,69 
24,144,5,'417945',1977,0.05,76,82,69 
25,145,5,'417945',1977,0,75,82,68 
26,146,5,'417945',1977,0,78,84,71 
27,147,5,'417945',1977,0,77,83,70 
28,148,5,'417945',1977,0,76,80,72 
29,149,5,'417945',1977,0,78,84,72 
30,150,5,'417945',1977,0,79,85,72 
31,151,5,'417945',1977,0.08,79,89,68 
1,152,6,'417945',1977,0.1,76,86,65 
2,153,6,'417945',1977,0,75,86,64 
3,154,6,'417945',1977,0,77,88,66 
4,155,6,'417945',1977,0,79,89,68 
5,156,6,'417945',1977,0,75,89,61 
6,157,6,'417945',1977,0,79,90,67 
7,158,6,'417945',1977,0,81,95,67 
8,159,6,'417945',1977,0,81,91,70 
9,160,6,'417945',1977,0,84,92,76 
10,161,6,'417945',1977,0,84,91,76 
11,162,6,'417945',1977,0.01,84,92,75 
12,163,6,'417945',1977,0,84,92,76 
13,164,6,'417945',1977,0.01,82,93,70 
14,165,6,'417945',1977,0.03,82,92,72 
15,166,6,'417945',1977,0.27,81,88,73 
16,167,6,'417945',1977,0,84,92,75 
17,168,6,'417945',1977,0,85,92,77 
18,169,6,'417945',1977,0,85,92,77 
19,170,6,'417945',1977,0,85,92,77 
20,171,6,'417945',1977,0,85,92,78 
21,172,6,'417945',1977,0.35,83,90,76 
22,173,6,'417945',1977,0.3,80,88,72 
23,174,6,'417945',1977,1.19,77,81,73 
24,175,6,'417945',1977,0,82,89,74 
25,176,6,'417945',1977,0,84,90,77 
26,177,6,'417945',1977,0,84,91,76 
27,178,6,'417945',1977,0,84,91,76 
28,179,6,'417945',1977,0,83,90,76 
29,180,6,'417945',1977,0,83,91,75 
30,181,6,'417945',1977,0,84,91,77 
1,182,7,'417945',1977,0,85,92,78 
2,183,7,'417945',1977,0,85,92,78 
3,184,7,'417945',1977,0,84,92,76 
4,185,7,'417945',1977,0,84,92,76 
5,186,7,'417945',1977,0,84,92,76 
6,187,7,'417945',1977,0,84,91,76 
7,188,7,'417945',1977,0,84,92,76 
8,189,7,'417945',1977,0,84,92,76 
9,190,7,'417945',1977,0,84,93,75 
10,191,7,'417945',1977,0,85,92,77 
11,192,7,'417945',1977,0,85,93,77 
12,193,7,'417945',1977,0,85,94,76 
13,194,7,'417945',1977,0,87,95,78 
14,195,7,'417945',1977,0,85,93,76 
15,196,7,'417945',1977,0,84,94,74 
16,197,7,'417945',1977,0,84,93,74 
17,198,7,'417945',1977,0,82,93,71 
18,199,7,'417945',1977,0.06,83,92,73 
19,200,7,'417945',1977,0,85,93,77 
20,201,7,'417945',1977,0.01,87,94,79 
21,202,7,'417945',1977,0,86,94,78 
22,203,7,'417945',1977,0,86,94,78 
23,204,7,'417945',1977,0,85,96,74 
24,205,7,'417945',1977,0,84,96,72 
25,206,7,'417945',1977,0,84,96,72 
26,207,7,'417945',1977,0,87,95,78 
27,208,7,'417945',1977,0,86,95,77 
28,209,7,'417945',1977,0,86,94,78 
29,210,7,'417945',1977,0.03,86,93,78 
30,211,7,'417945',1977,0,87,96,77 
31,212,7,'417945',1977,0,88,98,78 
1,213,8,'417945',1977,0,86,95,77 
2,214,8,'417945',1977,0.03,85,97,73 
3,215,8,'417945',1977,0,85,96,73 
4,216,8,'417945',1977,0,82,94,70 
5,217,8,'417945',1977,0,85,93,76 
6,218,8,'417945',1977,0,84,93,74 
7,219,8,'417945',1977,0,85,94,76 
8,220,8,'417945',1977,0,85,94,75 
9,221,8,'417945',1977,0,86,94,77 
10,222,8,'417945',1977,0,85,94,76 
11,223,8,'417945',1977,0,85,94,76 
12,224,8,'417945',1977,0,84,94,73 
13,225,8,'417945',1977,0,83,93,73 
14,226,8,'417945',1977,0,86,94,78 
15,227,8,'417945',1977,0,86,94,78 
16,228,8,'417945',1977,0,86,94,77 
17,229,8,'417945',1977,0,85,95,75 
18,230,8,'417945',1977,0.02,84,93,75 
19,231,8,'417945',1977,0,85,94,75 
20,232,8,'417945',1977,0,85,94,76 
21,233,8,'417945',1977,0,87,96,77 
22,234,8,'417945',1977,0,86,94,78 
23,235,8,'417945',1977,0,87,97,77 
24,236,8,'417945',1977,0,87,95,79 
25,237,8,'417945',1977,0,86,95,77 
26,238,8,'417945',1977,0,85,94,76 
27,239,8,'417945',1977,0,85,92,77 
28,240,8,'417945',1977,0.01,82,88,75 
29,241,8,'417945',1977,0,84,94,73 
30,242,8,'417945',1977,0,84,92,75 
31,243,8,'417945',1977,0,83,92,73 
1,244,9,'417945',1977,0.07,82,90,74 
2,245,9,'417945',1977,0,84,94,74 
3,246,9,'417945',1977,0,82,93,71 
4,247,9,'417945',1977,0,84,98,69 
5,248,9,'417945',1977,0,86,99,73 
6,249,9,'417945',1977,0.8,78,84,71 
7,250,9,'417945',1977,0.06,82,90,73 
8,251,9,'417945',1977,0,81,90,71 
9,252,9,'417945',1977,0,84,94,74 
10,253,9,'417945',1977,0,85,94,75 
11,254,9,'417945',1977,0,85,93,76 
12,255,9,'417945',1977,0.9,81,91,70 
13,256,9,'417945',1977,0.28,81,94,68 
14,257,9,'417945',1977,0,78,87,68 
15,258,9,'417945',1977,0,77,88,66 
16,259,9,'417945',1977,0,78,88,68 
17,260,9,'417945',1977,0,83,91,75 
18,261,9,'417945',1977,0,84,92,76 
19,262,9,'417945',1977,0,81,91,71 
20,263,9,'417945',1977,0,78,91,65 
21,264,9,'417945',1977,0,81,90,71 
22,265,9,'417945',1977,0,81,91,71 
23,266,9,'417945',1977,0,84,92,76 
24,267,9,'417945',1977,0,85,94,76 
25,268,9,'417945',1977,0,86,95,77 
26,269,9,'417945',1977,0,85,92,78 
27,270,9,'417945',1977,0,85,95,75 
28,271,9,'417945',1977,0,84,94,74 
29,272,9,'417945',1977,0,85,94,75 
30,273,9,'417945',1977,0,85,95,75 
1,274,10,'417945',1977,0,86,94,77 
2,275,10,'417945',1977,0.32,78,85,71 
3,276,10,'417945',1977,0,74,80,68 
4,277,10,'417945',1977,0,69,81,57 
5,278,10,'417945',1977,0,73,85,60 
6,279,10,'417945',1977,0,77,85,69 
7,280,10,'417945',1977,0,76,89,63 
8,281,10,'417945',1977,0.01,82,92,72 
9,282,10,'417945',1977,0,73,80,65 
10,283,10,'417945',1977,0,78,87,68 
11,284,10,'417945',1977,0,65,74,55 
12,285,10,'417945',1977,0,60,75,44 
13,286,10,'417945',1977,0,59,80,38 
14,287,10,'417945',1977,0,60,80,39 
15,288,10,'417945',1977,0,70,85,54 
16,289,10,'417945',1977,0,63,76,50 
17,290,10,'417945',1977,0,64,83,44 
18,291,10,'417945',1977,0,70,84,55 
19,292,10,'417945',1977,0,71,85,57 
20,293,10,'417945',1977,0,75,86,64 
21,294,10,'417945',1977,1,74,85,62 
22,295,10,'417945',1977,1.1,70,77,62 
23,296,10,'417945',1977,1,71,79,63 
24,297,10,'417945',1977,0.04,70,78,61 
25,298,10,'417945',1977,0,68,80,56 
26,299,10,'417945',1977,0,70,82,58 
27,300,10,'417945',1977,0,69,77,60 
28,301,10,'417945',1977,0,73,80,65 
29,302,10,'417945',1977,0,75,82,68 
30,303,10,'417945',1977,0,74,80,67 
31,304,10,'417945',1977,0,77,82,72 
1,305,11,'417945',1977,4.87,69,75,62 
2,306,11,'417945',1977,0,57,70,44 
3,307,11,'417945',1977,0,60,76,43 
4,308,11,'417945',1977,0,62,76,48 
5,309,11,'417945',1977,0,66,79,52 
6,310,11,'417945',1977,0,65,79,50 
7,311,11,'417945',1977,0,67,80,54 
8,312,11,'417945',1977,0.49,63,72,54 
9,313,11,'417945',1977,0,50,60,39 
10,314,11,'417945',1977,0,45,62,28 
11,315,11,'417945',1977,0,49,66,31 
12,316,11,'417945',1977,0,53,71,34 
13,317,11,'417945',1977,0,58,73,43 
14,318,11,'417945',1977,0,65,75,55 
15,319,11,'417945',1977,0,70,79,60 
16,320,11,'417945',1977,0,69,82,56 
17,321,11,'417945',1977,0,65,81,49 
18,322,11,'417945',1977,0,68,77,58 
19,323,11,'417945',1977,0,71,78,63 
20,324,11,'417945',1977,0,75,79,70 
21,325,11,'417945',1977,0.18,64,74,53 
22,326,11,'417945',1977,0,56,62,50 
23,327,11,'417945',1977,0,67,75,58 
24,328,11,'417945',1977,0.01,64,74,53 
25,329,11,'417945',1977,0,58,71,44 
26,330,11,'417945',1977,0,57,72,42 
27,331,11,'417945',1977,0,66,77,54 
28,332,11,'417945',1977,0,62,73,50 
29,333,11,'417945',1977,0.46,55,66,44 
30,334,11,'417945',1977,0,54,66,42 
1,335,12,'417945',1977,0,53,65,41 
